"year","month","monthly_revenue","cumulative_revenue_yearly"
"2003","1","116693","116693"
"2003","2","128404","245097"
"2003","3","160517","405614"
"2003","4","185849","591463"
"2003","5","179436","770899"
"2003","6","150471","921370"
"2003","7","201940","1123310"
"2003","8","178257","1301567"
"2003","9","236698","1538265"
"2003","10","514336","2052601"
"2003","11","988025","3040626"
"2003","12","276723","3317349"
"2004","1","292385","292385"
"2004","2","289503","581888"
"2004","3","217691","799579"
"2004","4","187576","987155"
"2004","5","248325","1235480"
"2004","6","343371","1578851"
"2004","7","325563","1904414"
"2004","8","419327","2323741"
"2004","9","283800","2607541"
"2004","10","500234","3107775"
"2004","11","979292","4087067"
"2004","12","428838","4515905"
"2005","1","307737","307737"
"2005","2","317192","624929"
"2005","3","359712","984641"
"2005","4","344821","1329462"
"2005","5","441475","1770937"
